epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7802,3.46408,4.20824,3.1256,0,0,0,0,3.71346,5.72566,3.12557,0.0672845,0.00033046,0.00033046
2,133.69,2.67184,3.36627,2.41655,0.14692,0.09017,0.04318,0.01465,2.90236,4.18472,2.57598,0.0342805,0.00065981,0.00065981
3,195.438,2.36291,2.99895,2.17575,0.12919,0.15688,0.08442,0.03114,2.56428,3.88137,2.36974,0.00127252,0.000985161,0.000985161
4,256.894,2.19631,2.73623,2.02701,0.31132,0.14163,0.11274,0.0454,2.48133,3.37079,2.24136,0.000982,0.000982,0.000982
5,318.674,2.09293,2.55919,1.9321,0.31747,0.17225,0.13548,0.05056,2.43763,3.23623,2.15521,0.000976,0.000976,0.000976
6,380.758,2.00548,2.40295,1.85155,0.36794,0.19924,0.15234,0.05891,2.313,3.33328,2.12408,0.00097,0.00097,0.00097
7,442.14,1.94528,2.28438,1.80412,0.42222,0.1948,0.18744,0.08335,2.22454,3.06769,2.11524,0.000964,0.000964,0.000964
8,503.295,1.88936,2.18688,1.76209,0.38258,0.20389,0.17692,0.07223,2.41202,3.41873,2.13875,0.000958,0.000958,0.000958
9,564.997,1.84307,2.09834,1.71717,0.3733,0.24816,0.21286,0.09191,2.21845,2.84226,2.02597,0.000952,0.000952,0.000952
10,626.584,1.81793,2.05047,1.69325,0.39865,0.25723,0.2265,0.09529,2.17507,2.77393,2.02116,0.000946,0.000946,0.000946
11,687.811,1.77989,1.96628,1.66478,0.40158,0.27288,0.24849,0.11332,2.16817,2.66747,2.03298,0.00094,0.00094,0.00094
12,749.763,1.74814,1.90829,1.63764,0.43115,0.26161,0.25137,0.11224,2.18924,2.61148,2.02912,0.000934,0.000934,0.000934
13,811.563,1.7144,1.85629,1.6188,0.43656,0.27592,0.25953,0.11958,2.13192,2.59011,1.97936,0.000928,0.000928,0.000928
14,873.368,1.69163,1.8064,1.59624,0.40159,0.2822,0.25398,0.11487,2.16564,2.61675,2.08189,0.000922,0.000922,0.000922
15,934.977,1.65893,1.75455,1.57475,0.53903,0.28929,0.25909,0.11715,2.13963,2.6068,1.97632,0.000916,0.000916,0.000916
16,996.711,1.63431,1.71194,1.55617,0.5093,0.27738,0.25051,0.11287,2.1587,2.66494,2.02729,0.00091,0.00091,0.00091
17,1058.9,1.60806,1.6572,1.53391,0.53946,0.29938,0.28025,0.12664,2.1176,2.52657,1.96427,0.000904,0.000904,0.000904
18,1120.93,1.59211,1.64547,1.52271,0.53906,0.30441,0.27945,0.1247,2.15401,2.51028,1.95081,0.000898,0.000898,0.000898
19,1183.15,1.56242,1.59791,1.50294,0.53449,0.30324,0.28417,0.13458,2.08289,2.4934,1.95186,0.000892,0.000892,0.000892
20,1244.67,1.54783,1.55171,1.48603,0.53018,0.30653,0.27141,0.12093,2.1056,2.50147,1.98681,0.000886,0.000886,0.000886
21,1306.29,1.52265,1.51832,1.47069,0.55529,0.29915,0.2826,0.12351,2.12737,2.45245,1.97137,0.00088,0.00088,0.00088
22,1367.72,1.50392,1.49539,1.45879,0.57779,0.29463,0.28749,0.13147,2.10154,2.4089,1.94852,0.000874,0.000874,0.000874
23,1428.94,1.48267,1.46319,1.44135,0.56148,0.30792,0.31037,0.14006,2.11781,2.40254,1.97737,0.000868,0.000868,0.000868
24,1490.92,1.46043,1.43367,1.43139,0.55249,0.30913,0.29558,0.13896,2.12105,2.40723,1.97364,0.000862,0.000862,0.000862
25,1552.41,1.44904,1.40622,1.4203,0.57143,0.30217,0.28849,0.12927,2.11959,2.4198,1.96298,0.000856,0.000856,0.000856
26,1614.09,1.4252,1.3718,1.40592,0.57748,0.30531,0.3089,0.13984,2.10548,2.39998,1.97007,0.00085,0.00085,0.00085
27,1675.52,1.40826,1.35421,1.39414,0.56742,0.31526,0.30721,0.14553,2.10954,2.40808,1.9969,0.000844,0.000844,0.000844
28,1737.49,1.40014,1.33732,1.38839,0.5329,0.34056,0.30569,0.14176,2.10212,2.33528,1.92961,0.000838,0.000838,0.000838
29,1799.27,1.38438,1.31685,1.37172,0.58439,0.32161,0.33424,0.15078,2.09066,2.31271,1.94598,0.000832,0.000832,0.000832
30,1860.55,1.37794,1.3045,1.3702,0.51552,0.34587,0.32447,0.14552,2.15474,2.35938,1.95509,0.000826,0.000826,0.000826
31,1922.45,1.35238,1.27366,1.35309,0.54168,0.33193,0.3064,0.14191,2.08978,2.29918,1.95388,0.00082,0.00082,0.00082
32,1984.2,1.35077,1.25567,1.3534,0.52969,0.32518,0.31891,0.14387,2.09625,2.30389,1.92858,0.000814,0.000814,0.000814
33,2045.84,1.32435,1.23518,1.3315,0.5144,0.34074,0.32171,0.15049,2.09432,2.30244,1.95228,0.000808,0.000808,0.000808
34,2107.2,1.30933,1.21546,1.32545,0.58326,0.32485,0.31762,0.14912,2.08535,2.25501,1.93205,0.000802,0.000802,0.000802
35,2168.6,1.30861,1.21121,1.32551,0.46862,0.32696,0.3332,0.15596,2.07953,2.26736,1.91581,0.000796,0.000796,0.000796
36,2229.55,1.29434,1.19771,1.31321,0.51233,0.34113,0.3246,0.14982,2.10904,2.31324,1.93034,0.00079,0.00079,0.00079
37,2291.08,1.28314,1.17823,1.30502,0.48805,0.3559,0.32761,0.15173,2.08764,2.2602,1.93217,0.000784,0.000784,0.000784
38,2352.55,1.2639,1.15477,1.29757,0.53934,0.34442,0.32009,0.15079,2.07627,2.27126,1.93015,0.000778,0.000778,0.000778
39,2414.56,1.25754,1.14704,1.29184,0.56104,0.3254,0.35472,0.15907,2.08367,2.2488,1.9282,0.000772,0.000772,0.000772
40,2476.13,1.25088,1.13992,1.28877,0.49472,0.33714,0.33193,0.1482,2.11088,2.24261,1.92102,0.000766,0.000766,0.000766
41,2537.85,1.23593,1.11546,1.2754,0.51511,0.34229,0.3379,0.15851,2.07582,2.22665,1.93417,0.00076,0.00076,0.00076
42,2599.91,1.23513,1.12207,1.27963,0.4808,0.36704,0.33766,0.15599,2.07485,2.22081,1.91208,0.000754,0.000754,0.000754
43,2661.58,1.21879,1.1033,1.26984,0.54793,0.34972,0.33635,0.1552,2.07303,2.21215,1.93482,0.000748,0.000748,0.000748
44,2722.85,1.21542,1.08947,1.26257,0.53102,0.33405,0.33428,0.15569,2.07078,2.20784,1.9099,0.000742,0.000742,0.000742
45,2784.5,1.20444,1.08578,1.25779,0.52777,0.34328,0.34828,0.16283,2.06937,2.20941,1.91364,0.000736,0.000736,0.000736
46,2846.27,1.19291,1.06967,1.25339,0.45948,0.3446,0.32216,0.15069,2.08033,2.21051,1.92125,0.00073,0.00073,0.00073
47,2907.71,1.19107,1.05707,1.24771,0.50618,0.35161,0.33936,0.1615,2.05353,2.1717,1.90963,0.000724,0.000724,0.000724
48,2969.65,1.18739,1.05728,1.24823,0.5171,0.36391,0.35283,0.16208,2.07082,2.18374,1.88942,0.000718,0.000718,0.000718
49,3030.9,1.175,1.04515,1.24258,0.54716,0.36407,0.34037,0.1628,2.05595,2.16701,1.90819,0.000712,0.000712,0.000712
50,3092.67,1.15941,1.03045,1.23464,0.55436,0.35524,0.35505,0.16369,2.05954,2.15159,1.90682,0.000706,0.000706,0.000706
51,3154.12,1.16816,1.03386,1.23498,0.53629,0.33954,0.34351,0.16036,2.05475,2.15691,1.89475,0.0007,0.0007,0.0007
52,3215.16,1.15607,1.02577,1.22826,0.55903,0.33478,0.35372,0.16988,2.05713,2.14081,1.90213,0.000694,0.000694,0.000694
53,3276.36,1.14479,1.01216,1.22201,0.52649,0.34956,0.3503,0.16686,2.05027,2.16989,1.86972,0.000688,0.000688,0.000688
54,3337.66,1.14056,1.00247,1.21986,0.52231,0.36748,0.35447,0.16657,2.05194,2.12786,1.89482,0.000682,0.000682,0.000682
55,3399.23,1.12781,0.9924,1.21481,0.52781,0.36031,0.34568,0.16341,2.051,2.1445,1.87077,0.000676,0.000676,0.000676
56,3460.28,1.13049,0.98783,1.21536,0.52683,0.35819,0.3498,0.16599,2.06541,2.1318,1.8881,0.00067,0.00067,0.00067
57,3521.78,1.11728,0.97423,1.20811,0.52148,0.35803,0.35601,0.16925,2.05242,2.11855,1.89862,0.000664,0.000664,0.000664
58,3583.42,1.12272,0.97993,1.20906,0.54854,0.34249,0.34996,0.16366,2.05536,2.14119,1.87741,0.000658,0.000658,0.000658
59,3644.46,1.11152,0.96828,1.20435,0.51912,0.35654,0.36308,0.1762,2.04419,2.11955,1.88518,0.000652,0.000652,0.000652
60,3705.87,1.09796,0.959,1.19765,0.50215,0.36993,0.36415,0.17437,2.0439,2.11048,1.87445,0.000646,0.000646,0.000646
61,3767.41,1.09185,0.95337,1.19551,0.54006,0.35448,0.3522,0.1653,2.05571,2.11603,1.88595,0.00064,0.00064,0.00064
62,3828.6,1.08822,0.94564,1.18747,0.54493,0.35654,0.35702,0.16818,2.04492,2.11785,1.88075,0.000634,0.000634,0.000634
63,3889.98,1.08509,0.93159,1.18782,0.53934,0.34927,0.36655,0.17169,2.04232,2.09814,1.89279,0.000628,0.000628,0.000628
64,3951.26,1.07578,0.92883,1.18572,0.54013,0.35472,0.36542,0.17349,2.03576,2.07989,1.87027,0.000622,0.000622,0.000622
65,4012.37,1.06974,0.92575,1.18117,0.54953,0.35741,0.35892,0.17107,2.04096,2.08895,1.89485,0.000616,0.000616,0.000616
66,4073.39,1.06213,0.91791,1.17716,0.40585,0.38967,0.3597,0.17221,2.04096,2.09636,1.88967,0.00061,0.00061,0.00061
67,4134.58,1.04894,0.90219,1.16985,0.55479,0.34866,0.36031,0.17097,2.03551,2.09068,1.86734,0.000604,0.000604,0.000604
68,4195.76,1.05567,0.9041,1.1716,0.54346,0.3518,0.36154,0.17399,2.03164,2.07812,1.88064,0.000598,0.000598,0.000598
69,4257.17,1.04723,0.90594,1.16928,0.53132,0.36653,0.36215,0.17483,2.02661,2.08174,1.86328,0.000592,0.000592,0.000592
70,4318.96,1.04581,0.9048,1.1695,0.55064,0.35619,0.36115,0.17466,2.0232,2.07154,1.86022,0.000586,0.000586,0.000586
71,4379.98,1.04309,0.89882,1.16787,0.53805,0.36087,0.36624,0.17516,2.02198,2.07341,1.8593,0.00058,0.00058,0.00058
72,4441.44,1.03187,0.88484,1.16165,0.54918,0.34898,0.35805,0.17388,2.02001,2.08395,1.85816,0.000574,0.000574,0.000574
73,4503.17,1.03027,0.88896,1.16166,0.48435,0.39311,0.36242,0.17269,2.03022,2.08198,1.87084,0.000568,0.000568,0.000568
74,4564.71,1.02918,0.87838,1.15917,0.53126,0.36983,0.36528,0.17642,2.02233,2.06186,1.86086,0.000562,0.000562,0.000562
75,4626.48,1.01605,0.87241,1.15302,0.54271,0.35933,0.36296,0.17443,2.02244,2.07365,1.86828,0.000556,0.000556,0.000556
76,4687.99,1.02237,0.87727,1.15383,0.50392,0.39008,0.3652,0.1765,2.02265,2.05631,1.85874,0.00055,0.00055,0.00055
77,4749.43,1.01259,0.8752,1.1494,0.5441,0.38052,0.37401,0.18005,2.02426,2.05693,1.851,0.000544,0.000544,0.000544
78,4811.09,1.012,0.86605,1.15149,0.53202,0.37871,0.36975,0.17699,2.02524,2.05957,1.85073,0.000538,0.000538,0.000538
79,4872.46,1.0094,0.86074,1.1464,0.54357,0.38245,0.36813,0.1781,2.01576,2.06378,1.85453,0.000532,0.000532,0.000532
80,4934.1,1.00873,0.86131,1.14987,0.42641,0.40106,0.37314,0.18095,2.01292,2.05044,1.84756,0.000526,0.000526,0.000526
81,4995.57,1.00422,0.85935,1.14603,0.4281,0.42976,0.3823,0.1833,2.01487,2.04824,1.84781,0.00052,0.00052,0.00052
82,5057.22,0.99217,0.85216,1.13987,0.53126,0.36424,0.3691,0.17922,2.01124,2.05592,1.84812,0.000514,0.000514,0.000514
83,5118.71,0.99446,0.84786,1.14264,0.53313,0.36648,0.36552,0.17742,2.01037,2.05089,1.84543,0.000508,0.000508,0.000508
84,5180.22,0.98671,0.84217,1.13904,0.40842,0.3808,0.36852,0.18012,2.00863,2.05138,1.84471,0.000502,0.000502,0.000502
85,5241.54,0.98756,0.83635,1.13896,0.51777,0.38742,0.37333,0.18043,2.01304,2.05067,1.84781,0.000496,0.000496,0.000496
86,5303.01,0.98211,0.83022,1.13537,0.52677,0.39909,0.37088,0.17874,2.01268,2.04154,1.84172,0.00049,0.00049,0.00049
87,5364.86,0.96883,0.82523,1.12828,0.50812,0.3841,0.36955,0.17842,2.01317,2.03431,1.84562,0.000484,0.000484,0.000484
88,5426.91,0.98202,0.83105,1.13536,0.50122,0.38702,0.37352,0.17904,2.01538,2.0343,1.85071,0.000478,0.000478,0.000478
89,5488.89,0.97422,0.82383,1.13124,0.38911,0.43435,0.37479,0.1818,2.01711,2.0283,1.84812,0.000472,0.000472,0.000472
90,5551.25,0.96383,0.81381,1.12663,0.40636,0.44271,0.37557,0.18093,2.01527,2.02774,1.84509,0.000466,0.000466,0.000466
91,5612.88,0.95988,0.80766,1.12126,0.38592,0.4298,0.37531,0.18126,2.01055,2.03091,1.84166,0.00046,0.00046,0.00046
92,5674.71,0.96041,0.80945,1.1242,0.41358,0.40832,0.37807,0.18292,2.00674,2.0264,1.83983,0.000454,0.000454,0.000454
93,5736.73,0.95345,0.81051,1.12112,0.42431,0.40607,0.3797,0.1841,2.00892,2.03061,1.84498,0.000448,0.000448,0.000448
94,5798.71,0.95334,0.80714,1.12012,0.49335,0.38671,0.38088,0.18521,2.00811,2.02762,1.84509,0.000442,0.000442,0.000442
95,5860.71,0.95072,0.8028,1.1169,0.40913,0.41181,0.38232,0.1866,2.00762,2.02881,1.84131,0.000436,0.000436,0.000436
96,5923.77,0.94756,0.80023,1.11957,0.48782,0.38081,0.38265,0.18456,2.00976,2.03087,1.84367,0.00043,0.00043,0.00043
97,5986.69,0.94377,0.79874,1.11526,0.42786,0.40317,0.37698,0.18126,2.01,2.02616,1.84278,0.000424,0.000424,0.000424
98,6049.79,0.93719,0.78906,1.11112,0.41502,0.41829,0.38109,0.1821,2.00909,2.02362,1.84455,0.000418,0.000418,0.000418
99,6112.46,0.93264,0.79057,1.11009,0.42321,0.41237,0.37915,0.1825,2.00586,2.0197,1.8429,0.000412,0.000412,0.000412
100,6175.88,0.92437,0.78029,1.10455,0.40886,0.42134,0.37982,0.18282,2.00759,2.01854,1.8436,0.000406,0.000406,0.000406
101,6238.55,0.93002,0.78745,1.10975,0.45181,0.39497,0.38175,0.18464,2.00807,2.01735,1.84465,0.0004,0.0004,0.0004
102,6301.34,0.91923,0.77844,1.10715,0.44468,0.40754,0.38066,0.18566,2.00511,2.01269,1.83978,0.000394,0.000394,0.000394
103,6364.53,0.92525,0.78168,1.10794,0.47263,0.39208,0.38042,0.1857,2.00333,2.01234,1.83595,0.000388,0.000388,0.000388
104,6428.28,0.92207,0.77491,1.10374,0.45683,0.40469,0.38162,0.18601,2.00215,2.00902,1.8329,0.000382,0.000382,0.000382
105,6491.62,0.91375,0.77309,1.10267,0.45062,0.41183,0.38186,0.18648,2.0025,2.00748,1.83292,0.000376,0.000376,0.000376
106,6554.34,0.91603,0.77043,1.10205,0.46587,0.41036,0.382,0.18665,2.00231,2.00873,1.8332,0.00037,0.00037,0.00037
107,6619.04,0.90777,0.76255,1.09879,0.45667,0.40948,0.38193,0.18688,2.00124,2.01083,1.83278,0.000364,0.000364,0.000364
108,6682.35,0.91007,0.76282,1.09776,0.41059,0.40104,0.37581,0.18394,2.00136,2.01028,1.83315,0.000358,0.000358,0.000358
109,6745.81,0.90267,0.75822,1.09724,0.44089,0.40871,0.3767,0.18383,1.9999,2.00973,1.83148,0.000352,0.000352,0.000352
110,6808.8,0.90521,0.76667,1.09994,0.42458,0.40134,0.37733,0.18419,2.00049,2.00684,1.83166,0.000346,0.000346,0.000346
111,6872.08,0.90285,0.755,1.09867,0.43042,0.40422,0.37709,0.18391,2.00164,2.00502,1.83306,0.00034,0.00034,0.00034
112,6934.92,0.88627,0.74461,1.08874,0.43307,0.38117,0.37668,0.18357,2.00022,2.00278,1.83144,0.000334,0.000334,0.000334
113,6998,0.89497,0.74905,1.09031,0.43942,0.40128,0.37695,0.18453,2.00001,2.00134,1.83205,0.000328,0.000328,0.000328
114,7061.32,0.89088,0.7494,1.09152,0.44806,0.40222,0.37829,0.18446,1.99896,2.00099,1.83013,0.000322,0.000322,0.000322
115,7124.34,0.88655,0.74515,1.08899,0.43848,0.40316,0.3777,0.18425,1.99914,2.00073,1.82902,0.000316,0.000316,0.000316
116,7187.45,0.88038,0.74182,1.08585,0.44273,0.40273,0.37697,0.18412,1.99989,2.00186,1.82946,0.00031,0.00031,0.00031
117,7250.47,0.8806,0.73863,1.08376,0.45023,0.40313,0.37651,0.1838,2.00047,2.0007,1.82953,0.000304,0.000304,0.000304
118,7313.46,0.87656,0.7383,1.08472,0.45252,0.40475,0.3777,0.18455,2.001,1.99882,1.82928,0.000298,0.000298,0.000298
