epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.403,1.83007,2.32769,1.73186,0.34668,0.17473,0.14508,0.05977,2.456,3.56951,2.2146,0.0670478,0.000332851,0.000332851
2,250.072,1.56871,1.55064,1.51076,0.39178,0.16188,0.09733,0.03971,2.43095,4.08726,2.16863,0.0340438,0.000662187,0.000662187
3,374.372,1.45295,1.34399,1.42772,0.44328,0.17571,0.13453,0.05876,2.45039,4.26938,2.23436,0.00103576,0.000987523,0.000987523
4,498.61,1.33892,1.18791,1.35439,0.4129,0.21835,0.19971,0.08243,2.30333,3.0122,2.10051,0.000982,0.000982,0.000982
5,622.961,1.22751,1.05603,1.28551,0.48318,0.24837,0.21057,0.09283,2.23034,2.96661,2.00351,0.000976,0.000976,0.000976
6,747.175,1.15886,0.98536,1.24344,0.42882,0.25755,0.24329,0.11055,2.22588,3.03887,2.04744,0.00097,0.00097,0.00097
7,871.367,1.10292,0.93546,1.21299,0.41719,0.27931,0.24568,0.11039,2.16155,2.48929,1.91422,0.000964,0.000964,0.000964
8,994.842,1.05993,0.89636,1.18895,0.54668,0.29753,0.27181,0.12358,2.11975,2.45061,1.91209,0.000958,0.000958,0.000958
9,1118.38,1.03756,0.87222,1.17848,0.55357,0.29207,0.27534,0.13028,2.07075,2.35546,1.91267,0.000952,0.000952,0.000952
10,1242.98,1.00453,0.84801,1.16211,0.58562,0.31329,0.30291,0.14316,2.03442,2.22583,1.83334,0.000946,0.000946,0.000946
11,1368.76,0.98555,0.83193,1.15178,0.58654,0.32515,0.31331,0.1531,1.99019,2.18484,1.82624,0.00094,0.00094,0.00094
12,1494.13,0.96938,0.81915,1.14602,0.58914,0.32772,0.31597,0.15274,1.9934,2.18534,1.82559,0.000934,0.000934,0.000934
13,1620.44,0.94923,0.80437,1.13626,0.59548,0.3407,0.33761,0.16409,1.97302,2.1137,1.79111,0.000928,0.000928,0.000928
14,1744.98,0.93255,0.79018,1.1274,0.51672,0.35057,0.35015,0.16722,1.94854,2.07638,1.7868,0.000922,0.000922,0.000922
15,1869.23,0.9194,0.77709,1.12018,0.53197,0.34925,0.35818,0.17207,1.95348,2.07375,1.76905,0.000916,0.000916,0.000916
16,1993.58,0.90381,0.76422,1.11193,0.59704,0.34819,0.36039,0.17561,1.93193,2.05819,1.77348,0.00091,0.00091,0.00091
17,2119.32,0.8984,0.76087,1.11051,0.49844,0.37081,0.36329,0.17603,1.93302,2.0467,1.7706,0.000904,0.000904,0.000904
18,2243.68,0.88713,0.75082,1.10573,0.51235,0.35992,0.36961,0.17535,1.92823,2.03052,1.76384,0.000898,0.000898,0.000898
19,2367.01,0.87824,0.74584,1.10279,0.51489,0.36662,0.35696,0.17732,1.91958,2.0243,1.76533,0.000892,0.000892,0.000892
20,2491.15,0.87054,0.73772,1.09857,0.4846,0.36396,0.35972,0.17707,1.92107,2.01472,1.76242,0.000886,0.000886,0.000886
21,2616.82,0.86399,0.7365,1.09422,0.48785,0.36534,0.36712,0.18077,1.91631,2.00777,1.75459,0.00088,0.00088,0.00088
22,2743.35,0.85326,0.72639,1.08769,0.40279,0.36981,0.37169,0.18274,1.90809,1.99898,1.74758,0.000874,0.000874,0.000874
23,2869.54,0.84691,0.72244,1.08767,0.39881,0.37648,0.37122,0.18408,1.90499,1.99285,1.74623,0.000868,0.000868,0.000868
24,2994.46,0.84098,0.71642,1.08369,0.40884,0.38769,0.37364,0.18507,1.90208,1.99541,1.74501,0.000862,0.000862,0.000862
25,3120.61,0.83442,0.709,1.08151,0.50762,0.39085,0.37824,0.18642,1.90144,1.99011,1.74633,0.000856,0.000856,0.000856
26,3246.97,0.82804,0.70569,1.0794,0.53051,0.3876,0.38165,0.18731,1.89936,1.9879,1.7461,0.00085,0.00085,0.00085
27,3372.86,0.82439,0.70073,1.07614,0.4034,0.39983,0.38119,0.18777,1.89793,1.98472,1.74386,0.000844,0.000844,0.000844
28,3498.82,0.82073,0.70229,1.07594,0.40488,0.40078,0.3814,0.18802,1.8977,1.98164,1.74336,0.000838,0.000838,0.000838
29,3625.35,0.81179,0.69395,1.0711,0.40711,0.40912,0.38465,0.18913,1.89572,1.98137,1.74249,0.000832,0.000832,0.000832
30,3751.78,0.80931,0.69295,1.07087,0.40441,0.40682,0.38719,0.19064,1.89333,1.97821,1.74052,0.000826,0.000826,0.000826
31,3877.45,0.80162,0.68941,1.06807,0.41215,0.4087,0.38882,0.19121,1.89057,1.97714,1.73845,0.00082,0.00082,0.00082
32,4002.65,0.79692,0.6846,1.06465,0.41229,0.40928,0.38672,0.19076,1.88916,1.97417,1.73673,0.000814,0.000814,0.000814
33,4127.4,0.79451,0.67724,1.06254,0.41664,0.41174,0.39029,0.19172,1.88802,1.97247,1.73496,0.000808,0.000808,0.000808
34,4251.16,0.78891,0.67638,1.06218,0.41762,0.41346,0.39127,0.19236,1.88838,1.97107,1.73453,0.000802,0.000802,0.000802
35,4374.8,0.78974,0.67407,1.06206,0.42053,0.41446,0.39119,0.19222,1.88757,1.96843,1.73401,0.000796,0.000796,0.000796
36,4497.79,0.78313,0.67179,1.05743,0.41067,0.41396,0.39148,0.19305,1.88593,1.96525,1.73243,0.00079,0.00079,0.00079
37,4621.49,0.77685,0.66413,1.05542,0.4123,0.42583,0.39281,0.19368,1.88401,1.96287,1.7315,0.000784,0.000784,0.000784
38,4745.37,0.77112,0.66116,1.05348,0.37474,0.41879,0.39534,0.19429,1.88289,1.96322,1.73069,0.000778,0.000778,0.000778
39,4868.98,0.76966,0.66011,1.05211,0.3743,0.41748,0.39363,0.19459,1.88223,1.96086,1.72993,0.000772,0.000772,0.000772
40,4992.75,0.76613,0.65778,1.05285,0.37775,0.42144,0.39381,0.19492,1.88175,1.95997,1.73058,0.000766,0.000766,0.000766
41,5116.81,0.76591,0.65696,1.04981,0.40791,0.42674,0.39475,0.19591,1.88049,1.95884,1.73005,0.00076,0.00076,0.00076
42,5240.87,0.75789,0.65098,1.04874,0.41389,0.42598,0.3968,0.19569,1.87937,1.95763,1.72985,0.000754,0.000754,0.000754
43,5364.18,0.7584,0.65122,1.04829,0.41901,0.42532,0.39611,0.19637,1.87865,1.95711,1.72928,0.000748,0.000748,0.000748
44,5488.42,0.75272,0.64924,1.04575,0.41451,0.43162,0.39713,0.19694,1.87629,1.95539,1.72778,0.000742,0.000742,0.000742
