epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.18,3.70281,4.63346,3.75882,0.67291,0.0106,0.00252,0.00066,3.61475,4.86604,3.49324,0.0701172,0.00332031,0.00332031
2,248.182,2.86797,3.67179,2.87676,0.05881,0.13432,0.03088,0.00835,2.59304,4.33946,2.76836,0.0400733,0.00660973,0.00660973
3,365.509,2.26667,2.94734,2.3271,0.24729,0.1314,0.06447,0.02103,2.46386,4.36455,2.49868,0.00998536,0.00985515,0.00985515
4,482.903,2.03407,2.51322,2.07895,0.34426,0.19533,0.17226,0.07259,2.22274,2.97626,2.34799,0.009802,0.009802,0.009802
5,599.08,1.8652,2.20071,1.91359,0.39395,0.23705,0.20924,0.0911,2.17669,2.67846,2.18341,0.009736,0.009736,0.009736
6,715.139,1.76492,2.00088,1.81499,0.41324,0.24945,0.22168,0.09588,2.17648,2.64743,2.17237,0.00967,0.00967,0.00967
7,830.218,1.67963,1.82521,1.73175,0.41492,0.28546,0.25934,0.11789,2.13841,2.46887,2.15194,0.009604,0.009604,0.009604
8,945.87,1.60943,1.70647,1.66954,0.45454,0.28424,0.27625,0.12416,2.13775,2.35604,2.09721,0.009538,0.009538,0.009538
9,1061.86,1.54786,1.59292,1.61309,0.45716,0.31209,0.29208,0.13642,2.09725,2.30378,2.09479,0.009472,0.009472,0.009472
10,1177.53,1.49157,1.50418,1.56108,0.48096,0.30989,0.30805,0.1502,2.05692,2.23496,2.05895,0.009406,0.009406,0.009406
11,1293.25,1.44361,1.42919,1.52395,0.45134,0.2792,0.27008,0.11969,2.15711,2.37598,2.06834,0.00934,0.00934,0.00934
12,1408.54,1.40884,1.38023,1.49261,0.47366,0.31619,0.31945,0.15197,2.07372,2.20659,2.02106,0.009274,0.009274,0.009274
13,1524.54,1.36399,1.31314,1.45252,0.47723,0.29617,0.29182,0.13902,2.08492,2.25947,2.00837,0.009208,0.009208,0.009208
14,1639.96,1.3387,1.27514,1.43097,0.51478,0.32418,0.34123,0.16146,2.05945,2.12795,2.00687,0.009142,0.009142,0.009142
15,1755.21,1.31171,1.23666,1.40474,0.49747,0.3234,0.3279,0.15786,2.01781,2.14575,1.96353,0.009076,0.009076,0.009076
16,1870.88,1.2858,1.20264,1.38322,0.52248,0.2984,0.32681,0.15841,2.03229,2.18072,1.99196,0.00901,0.00901,0.00901
17,1988.02,1.26429,1.16932,1.36399,0.50479,0.29987,0.31877,0.15306,2.0384,2.2038,1.95298,0.008944,0.008944,0.008944
18,2104.85,1.23688,1.13497,1.34524,0.50262,0.32919,0.34714,0.16582,2.02211,2.0551,1.96171,0.008878,0.008878,0.008878
19,2221.91,1.22332,1.11914,1.33082,0.51667,0.33006,0.35634,0.17894,1.98246,2.03287,1.90044,0.008812,0.008812,0.008812
20,2339.65,1.20723,1.09384,1.31476,0.44603,0.39449,0.37956,0.18884,1.95146,2.01143,1.89754,0.008746,0.008746,0.008746
21,2456.67,1.18435,1.0655,1.29724,0.51033,0.37184,0.3793,0.18503,1.95809,1.98331,1.87641,0.00868,0.00868,0.00868
22,2573.84,1.16885,1.04633,1.28789,0.51976,0.34892,0.3723,0.18813,1.948,1.96081,1.88288,0.008614,0.008614,0.008614
23,2691.03,1.1577,1.03773,1.27984,0.64446,0.33775,0.36512,0.18391,1.95321,1.97198,1.87957,0.008548,0.008548,0.008548
24,2807.27,1.13844,1.01745,1.2659,0.5535,0.39197,0.382,0.19078,1.94099,1.9598,1.85376,0.008482,0.008482,0.008482
25,2924.06,1.12478,0.99426,1.25604,0.64219,0.35699,0.37258,0.19165,1.8983,1.93507,1.83348,0.008416,0.008416,0.008416
