epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.443,2.34275,3.16592,2.15003,0.19403,0.13176,0.08695,0.03067,2.64914,3.8911,2.44102,0.0670626,0.000332701,0.000332701
2,327.284,1.90635,2.2912,1.77645,0.26003,0.21189,0.17209,0.06599,2.37654,3.25092,2.11548,0.0340586,0.000662038,0.000662038
3,485.555,1.69762,1.89291,1.62717,0.38754,0.20976,0.18298,0.07969,2.40568,3.37426,2.38147,0.00105063,0.000987375,0.000987375
4,643.133,1.53034,1.61187,1.50529,0.50638,0.24178,0.20755,0.08905,2.29241,2.83839,2.1519,0.000982,0.000982,0.000982
5,799.846,1.36753,1.38377,1.40241,0.40642,0.275,0.23582,0.10163,2.20284,2.6913,2.14359,0.000976,0.000976,0.000976
6,957.649,1.24574,1.22995,1.33251,0.53492,0.26959,0.24264,0.10218,2.19978,2.62697,2.16728,0.00097,0.00097,0.00097
7,1112.47,1.1541,1.12362,1.27546,0.54217,0.29274,0.26835,0.1225,2.12245,2.49769,2.0686,0.000964,0.000964,0.000964
8,1268.4,1.08763,1.04057,1.2365,0.55203,0.3136,0.28982,0.1348,2.11701,2.43221,2.04866,0.000958,0.000958,0.000958
9,1423.22,1.03371,0.98716,1.21057,0.56001,0.32048,0.30086,0.13804,2.11624,2.42114,2.02569,0.000952,0.000952,0.000952
10,1580.38,0.98509,0.93763,1.17872,0.56461,0.30404,0.29636,0.13792,2.10157,2.39529,1.96829,0.000946,0.000946,0.000946
11,1737.87,0.94634,0.89173,1.15933,0.53318,0.33454,0.29586,0.139,2.07396,2.33017,1.99192,0.00094,0.00094,0.00094
12,1893.46,0.91991,0.86718,1.14347,0.4695,0.32653,0.30243,0.14043,2.08103,2.28682,1.9823,0.000934,0.000934,0.000934
13,2050.58,0.88555,0.82579,1.12525,0.57565,0.31951,0.30671,0.14558,2.05673,2.27429,1.97174,0.000928,0.000928,0.000928
14,2207.08,0.85873,0.80187,1.11093,0.58937,0.33117,0.3309,0.15265,2.06226,2.2222,1.92259,0.000922,0.000922,0.000922
15,2365.1,0.83509,0.77572,1.09633,0.60744,0.32941,0.33316,0.15961,2.06413,2.21141,1.97671,0.000916,0.000916,0.000916
16,2522.6,0.81586,0.75778,1.08786,0.55689,0.35993,0.34519,0.169,2.03075,2.17937,1.92285,0.00091,0.00091,0.00091
17,2679.89,0.80364,0.74739,1.0833,0.61396,0.3361,0.34111,0.16566,1.98895,2.14737,1.88373,0.000904,0.000904,0.000904
18,2835.24,0.78066,0.72207,1.06891,0.47305,0.36895,0.34385,0.16783,2.01431,2.12067,1.91241,0.000898,0.000898,0.000898
19,2990.4,0.77694,0.71219,1.06562,0.4975,0.34584,0.3507,0.17025,2.00485,2.14719,1.91851,0.000892,0.000892,0.000892
20,3145.78,0.76078,0.70066,1.06081,0.51629,0.35754,0.35266,0.17144,1.97814,2.09352,1.85116,0.000886,0.000886,0.000886
21,3304.11,0.7462,0.686,1.05363,0.49916,0.36024,0.36502,0.18081,1.98254,2.07109,1.87969,0.00088,0.00088,0.00088
22,3458.76,0.73632,0.67513,1.04675,0.52833,0.39136,0.3695,0.18184,1.96199,2.04135,1.83579,0.000874,0.000874,0.000874
23,3614.33,0.72167,0.6635,1.04259,0.49635,0.3725,0.37234,0.1837,1.9571,2.02821,1.86455,0.000868,0.000868,0.000868
24,3772.16,0.71451,0.65452,1.03542,0.51025,0.38487,0.37243,0.18352,1.95654,2.03804,1.84595,0.000862,0.000862,0.000862
25,3930.12,0.70066,0.6406,1.02844,0.52761,0.38319,0.38228,0.18844,1.95328,2.0268,1.84105,0.000856,0.000856,0.000856
26,4088,0.69601,0.63963,1.02873,0.52956,0.38654,0.39152,0.1942,1.92389,1.99275,1.81008,0.00085,0.00085,0.00085
27,4243.33,0.68681,0.62598,1.02533,0.52992,0.39367,0.38499,0.19025,1.93167,1.98069,1.80793,0.000844,0.000844,0.000844
28,4402.64,0.68109,0.62077,1.02148,0.52656,0.40963,0.39283,0.19575,1.93166,1.96333,1.8226,0.000838,0.000838,0.000838
29,4559.82,0.66822,0.60741,1.01375,0.53699,0.39639,0.39423,0.19793,1.92555,1.95785,1.80143,0.000832,0.000832,0.000832
30,4713.41,0.6613,0.59995,1.01285,0.54154,0.39355,0.39269,0.19684,1.92611,1.94602,1.80555,0.000826,0.000826,0.000826
31,4867.91,0.6554,0.59938,1.0108,0.53404,0.39146,0.40988,0.20218,1.91715,1.9409,1.80504,0.00082,0.00082,0.00082
