epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.7903,0.38057,0.86661,1,0.35235,0.070106,0.00332155,0.00332155
2,147.99,0.34969,0.86484,1,0.5022,0.0400401,0.006589,0.006589
3,212.885,0.35265,0.9258,1,0.22716,0.00990824,0.00979045,0.00979045
4,278.77,0.32984,0.87191,1,0.35131,0.009703,0.009703,0.009703
5,343.689,0.32838,0.93198,1,0.18655,0.009604,0.009604,0.009604
6,409.433,0.27323,0.85336,1,0.3641,0.009505,0.009505,0.009505
7,474.085,0.25086,0.95053,1,0.13791,0.009406,0.009406,0.009406
8,538.791,0.2359,0.92403,1,0.18064,0.009307,0.009307,0.009307
9,603.788,0.23757,0.94788,1,0.14821,0.009208,0.009208,0.009208
10,669.162,0.2052,0.93816,1,0.15322,0.009109,0.009109,0.009109
11,733.92,0.21856,0.90813,1,0.21027,0.00901,0.00901,0.00901
12,798.669,0.20158,0.9682,1,0.11022,0.008911,0.008911,0.008911
13,863.388,0.18575,0.94435,1,0.127,0.008812,0.008812,0.008812
14,928.803,0.20792,0.92668,1,0.18282,0.008713,0.008713,0.008713
15,994.953,0.18612,0.94876,1,0.1185,0.008614,0.008614,0.008614
16,1063.12,0.18882,0.94965,1,0.1313,0.008515,0.008515,0.008515
17,1134.21,0.18505,0.96378,1,0.0989,0.008416,0.008416,0.008416
18,1207.44,0.17977,0.96908,1,0.09794,0.008317,0.008317,0.008317
19,1282.14,0.16424,0.97527,1,0.07041,0.008218,0.008218,0.008218
20,1354.56,0.14703,0.96908,1,0.09859,0.008119,0.008119,0.008119
21,1420.51,0.16417,0.96996,1,0.08279,0.00802,0.00802,0.00802
22,1492.4,0.1626,0.96908,1,0.08839,0.007921,0.007921,0.007921
23,1564.41,0.15974,0.97968,1,0.06636,0.007822,0.007822,0.007822
24,1632.73,0.16496,0.90548,1,0.2132,0.007723,0.007723,0.007723
