epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8224,2.36092,3.45471,2.03173,0.12158,0.01014,0.00574,0.00245,3.85685,15.1261,3.68375,0.00332071,0.00332071,0.00332071
2,131.915,2.33175,2.99671,2.02492,0.07622,0.09778,0.03378,0.01116,3.01831,9.49669,2.64495,0.00661012,0.00661012,0.00661012
3,200.037,2.25622,2.87055,1.97322,0.10567,0.1359,0.06393,0.02624,2.3948,11.9427,2.40139,0.00985554,0.00985554,0.00985554
4,263.997,2.17059,2.71302,1.89576,0.37323,0.12291,0.11062,0.0451,2.56462,5.91417,2.49283,0.009802,0.009802,0.009802
5,325.724,2.1006,2.58567,1.848,0.37072,0.17369,0.1186,0.04969,2.27862,3.86583,2.11956,0.009736,0.009736,0.009736
6,387.926,2.04764,2.47036,1.792,0.36569,0.2434,0.20165,0.09014,2.1895,3.27985,2.05629,0.00967,0.00967,0.00967
7,449.924,2.00341,2.38914,1.7629,0.34889,0.23627,0.18024,0.08051,2.26275,3.7985,2.13899,0.009604,0.009604,0.009604
8,511.877,1.96623,2.31845,1.73748,0.5203,0.25209,0.22543,0.10263,2.18894,3.0703,2.05741,0.009538,0.009538,0.009538
9,573.187,1.93917,2.25204,1.70758,0.53092,0.27029,0.23175,0.10531,2.10043,2.90274,2.00963,0.009472,0.009472,0.009472
10,634.17,1.9038,2.19525,1.68701,0.5055,0.2705,0.23803,0.10827,2.14169,2.77682,2.01227,0.009406,0.009406,0.009406
11,695.997,1.88432,2.15857,1.6768,0.42074,0.27178,0.22631,0.10352,2.14778,3.18369,1.99367,0.00934,0.00934,0.00934
12,757.641,1.85614,2.09377,1.6533,0.53365,0.3055,0.27411,0.12886,2.04911,2.68523,1.95848,0.009274,0.009274,0.009274
13,819.132,1.84128,2.06304,1.63594,0.42887,0.24573,0.22665,0.10784,2.18187,2.95637,2.1117,0.009208,0.009208,0.009208
14,880.633,1.81535,2.01651,1.61827,0.55591,0.29426,0.27236,0.12934,2.05954,2.81007,1.96846,0.009142,0.009142,0.009142
15,941.58,1.80256,1.98566,1.61351,0.44784,0.29944,0.27974,0.1356,2.07908,2.70095,1.97349,0.009076,0.009076,0.009076
16,1002.38,1.76791,1.92366,1.5856,0.55575,0.2808,0.26702,0.12907,2.10682,2.67478,1.93254,0.00901,0.00901,0.00901
17,1063.59,1.75229,1.88813,1.57368,0.58321,0.31616,0.29794,0.14399,2.03563,2.5037,1.93222,0.008944,0.008944,0.008944
18,1124.44,1.73059,1.8489,1.55547,0.5707,0.30398,0.29997,0.14309,2.08554,2.43075,1.96648,0.008878,0.008878,0.008878
19,1185.01,1.70973,1.8064,1.54413,0.57664,0.30841,0.29479,0.143,2.04884,2.44294,1.9486,0.008812,0.008812,0.008812
20,1245.44,1.6955,1.7902,1.53743,0.5807,0.31778,0.30766,0.14877,2.04308,2.36316,1.93164,0.008746,0.008746,0.008746
21,1306.78,1.67677,1.74883,1.52039,0.57883,0.32877,0.30988,0.14785,2.06487,2.37982,1.93281,0.00868,0.00868,0.00868
22,1367.51,1.65525,1.7239,1.50432,0.61097,0.31136,0.32689,0.16107,2.01731,2.28792,1.8901,0.008614,0.008614,0.008614
